DATE                      TIME                      DAYS_SINCE_JAN            H2O                       D_1816                    D_DH                     
12/02/15                  15:03:03.4                3.3562712274E+2           8.1530989795E+3           -2.4948332274E+1          -2.1544315832E+2         
12/02/15                  15:03:08.4                3.3562718146E+2           8.1453785415E+3           -2.5320182128E+1          -2.1016800927E+2         
12/02/15                  15:03:13.5                3.3562724028E+2           8.1479881832E+3           -2.5730083150E+1          -2.0831988659E+2         
12/02/15                  15:03:18.6                3.3562729931E+2           8.1440282959E+3           -2.5700817539E+1          -2.0697569450E+2         
12/02/15                  15:03:23.7                3.3562735830E+2           8.1372754047E+3           -2.5459191269E+1          -2.0867659341E+2         
12/02/15                  15:03:28.8                3.3562741747E+2           8.1487791895E+3           -2.5563916212E+1          -2.0574605695E+2         
12/02/15                  15:03:33.9                3.3562747631E+2           8.1447367954E+3           -2.5338107504E+1          -2.0943584063E+2         
12/02/15                  15:03:39.0                3.3562753526E+2           8.1525668557E+3           -2.5463563683E+1          -2.1004562401E+2         
12/02/15                  15:03:44.1                3.3562759411E+2           8.1364999043E+3           -2.5148735858E+1          -2.1020988452E+2         
12/02/15                  15:03:49.2                3.3562765289E+2           8.1131733172E+3           -2.5355641926E+1          -2.1173277230E+2         
12/02/15                  15:03:54.3                3.3562771198E+2           8.1003121874E+3           -2.5696252933E+1          -2.0865033758E+2         
12/02/15                  15:04:01.2                3.3562779189E+2           8.0888475001E+3           -2.5391038184E+1          -2.1163097510E+2         
12/02/15                  15:04:06.2                3.3562785057E+2           8.0853750246E+3           -2.5390534013E+1          -2.0965536158E+2         
12/02/15                  15:04:11.3                3.3562790944E+2           8.0885000416E+3           -2.5838207080E+1          -2.0758773833E+2         
12/02/15                  15:04:16.4                3.3562796816E+2           8.0722901423E+3           -2.5244387290E+1          -2.0990372029E+2         
12/02/15                  15:04:21.5                3.3562802695E+2           8.0389662108E+3           -2.5202837025E+1          -2.1654184757E+2         
12/02/15                  15:04:26.6                3.3562808595E+2           8.0172979289E+3           -2.5236782257E+1          -2.1333364695E+2         
12/02/15                  15:04:31.6                3.3562814451E+2           8.0216299302E+3           -2.5574595601E+1          -2.0890960871E+2         
12/02/15                  15:04:36.7                3.3562820360E+2           8.0356369041E+3           -2.5041004535E+1          -2.1370570303E+2         
12/02/15                  15:04:41.8                3.3562826252E+2           8.0445643994E+3           -2.5153617249E+1          -2.1596240586E+2         
12/02/15                  15:04:46.9                3.3562832134E+2           8.0479313826E+3           -2.5494173299E+1          -2.0796196699E+2         
12/02/15                  15:04:52.0                3.3562838018E+2           8.0757746055E+3           -2.5606391533E+1          -2.0944822172E+2         
12/02/15                  15:04:58.9                3.3562845999E+2           8.1171596469E+3           -2.5216140044E+1          -2.1060372327E+2         
12/02/15                  15:05:04.0                3.3562851875E+2           8.1172540989E+3           -2.5025642090E+1          -2.1262062220E+2         
12/02/15                  15:05:09.1                3.3562857776E+2           8.1145916623E+3           -2.5699262556E+1          -2.0576648821E+2         
12/02/15                  15:05:14.2                3.3562863659E+2           8.1012196006E+3           -2.5524690211E+1          -2.1102269341E+2         
12/02/15                  15:05:19.2                3.3562869558E+2           8.0631957442E+3           -2.5704439363E+1          -2.0902290887E+2         
12/02/15                  15:05:24.4                3.3562875475E+2           8.0111488310E+3           -2.5408621209E+1          -2.1135536898E+2         
12/02/15                  15:05:29.4                3.3562881365E+2           8.0080194956E+3           -2.5438620473E+1          -2.1204039240E+2         
12/02/15                  15:05:34.5                3.3562887261E+2           8.0061374069E+3           -2.5498628216E+1          -2.0922159675E+2         
12/02/15                  15:05:39.6                3.3562893151E+2           8.0133451232E+3           -2.5336847760E+1          -2.1064120654E+2         
12/02/15                  15:05:44.7                3.3562899034E+2           8.0300247865E+3           -2.5358906050E+1          -2.1388154703E+2         
12/02/15                  15:05:49.8                3.3562904948E+2           8.0243262266E+3           -2.5375190320E+1          -2.1386314747E+2         
12/02/15                  15:05:56.8                3.3562912982E+2           8.0006206731E+3           -2.5643427875E+1          -2.1128372748E+2         
12/02/15                  15:06:01.9                3.3562918909E+2           8.0285618191E+3           -2.5716678263E+1          -2.0880603534E+2         
12/02/15                  15:06:07.0                3.3562924814E+2           8.0415499471E+3           -2.5588043054E+1          -2.1179957629E+2         
12/02/15                  15:06:12.1                3.3562930705E+2           8.0286100288E+3           -2.5711655603E+1          -2.0907080914E+2         
12/02/15                  15:06:17.2                3.3562936611E+2           8.0030839533E+3           -2.5810918725E+1          -2.1076639693E+2         
12/02/15                  15:06:22.3                3.3562942531E+2           7.9660309540E+3           -2.5579569267E+1          -2.1053840782E+2         
12/02/15                  15:06:27.4                3.3562948437E+2           7.9660449755E+3           -2.5412225499E+1          -2.1063407563E+2         
12/02/15                  15:06:32.5                3.3562954343E+2           7.9861130906E+3           -2.6000698637E+1          -2.0614105377E+2         
12/02/15                  15:06:37.6                3.3562960244E+2           8.0057394286E+3           -2.5855940094E+1          -2.1289136931E+2         
12/02/15                  15:06:42.7                3.3562966123E+2           8.0329046160E+3           -2.5801033835E+1          -2.0882795463E+2         
12/02/15                  15:06:47.8                3.3562972043E+2           8.0726319313E+3           -2.5439100696E+1          -2.1176629799E+2         
12/02/15                  15:06:54.7                3.3562980076E+2           8.1643378450E+3           -2.5765773663E+1          -2.0817876712E+2         
12/02/15                  15:06:59.8                3.3562985993E+2           8.1825274887E+3           -2.5715268464E+1          -2.0755585312E+2         
12/02/15                  15:07:04.9                3.3562991895E+2           8.1794894378E+3           -2.5654106589E+1          -2.0850676836E+2         
12/02/15                  15:07:10.0                3.3562997769E+2           8.1532229382E+3           -2.5733959433E+1          -2.0631151657E+2         
12/02/15                  15:07:15.1                3.3563003682E+2           8.1378591310E+3           -2.5671472547E+1          -2.0818131700E+2         
12/02/15                  15:07:20.2                3.3563009597E+2           8.1434477887E+3           -2.5537422166E+1          -2.1430087215E+2         
12/02/15                  15:07:25.4                3.3563015514E+2           8.1649663129E+3           -2.5908016098E+1          -2.0877846461E+2         
12/02/15                  15:07:30.5                3.3563021431E+2           8.1834359997E+3           -2.5858810284E+1          -2.0901797512E+2         
12/02/15                  15:07:35.6                3.3563027358E+2           8.1842149523E+3           -2.5853843525E+1          -2.0917058973E+2         
12/02/15                  15:07:40.7                3.3563033249E+2           8.2016286955E+3           -2.5705953093E+1          -2.0839082134E+2         
12/02/15                  15:07:45.8                3.3563039166E+2           8.2038016240E+3           -2.5766355761E+1          -2.0786525425E+2         
12/02/15                  15:07:52.9                3.3563047377E+2           8.2591452876E+3           -2.5630494616E+1          -2.0908114303E+2         
12/02/15                  15:07:58.0                3.3563053274E+2           8.2200373606E+3           -2.5792554631E+1          -2.0612063620E+2         
12/02/15                  15:08:03.1                3.3563059179E+2           8.2001283036E+3           -2.5870395767E+1          -2.0505188536E+2         
12/02/15                  15:08:08.2                3.3563065116E+2           8.1868472972E+3           -2.5708825563E+1          -2.1020207947E+2         
12/02/15                  15:08:13.3                3.3563071010E+2           8.1875246003E+3           -2.5706873422E+1          -2.0982722648E+2         
12/02/15                  15:08:18.4                3.3563076939E+2           8.1880239020E+3           -2.5658161365E+1          -2.0656475363E+2         
12/02/15                  15:08:23.5                3.3563082827E+2           8.1827387870E+3           -2.6283451327E+1          -2.0512852192E+2         
12/02/15                  15:08:28.6                3.3563088722E+2           7.7302267708E+3           -2.4973405722E+1          -2.0817083515E+2         
12/02/15                  15:08:33.7                3.3563094608E+2           5.7358622649E+3           -2.5162127775E+1          -2.0877385378E+2         
