DATE                      TIME                      DAYS_SINCE_JAN            DAS_TEMP_(C)              BASELINE                  H2O                       D_1816                    D_DH                     
06/03/16                  10:16:12.5                1.5438625676E+2           3.3208333330E+1           7.9482951066E+2           1.9708882784E+4           -2.4420453019E+1          -1.4707585844E+2         
06/03/16                  10:16:18.4                1.5438632477E+2           3.3239583330E+1           7.9521970785E+2           1.9698160876E+4           -2.4067189837E+1          -1.4853205746E+2         
06/03/16                  10:16:24.3                1.5438639266E+2           3.3250000000E+1           7.9499959867E+2           1.9692797569E+4           -2.4374217265E+1          -1.4747640481E+2         
06/03/16                  10:16:30.2                1.5438646124E+2           3.3250000000E+1           7.9510170718E+2           1.9681638903E+4           -2.4123579734E+1          -1.4749288208E+2         
06/03/16                  10:16:36.2                1.5438653012E+2           3.3250000000E+1           7.9524332213E+2           1.9673785719E+4           -2.4158477213E+1          -1.4796325700E+2         
06/03/16                  10:16:41.9                1.5438659704E+2           3.3250000000E+1           7.9470073919E+2           1.9675354760E+4           -2.4012548538E+1          -1.4618395908E+2         
06/03/16                  10:16:47.8                1.5438666512E+2           3.3250000000E+1           7.9526821624E+2           1.9661505540E+4           -2.3903082991E+1          -1.4837802677E+2         
06/03/16                  10:16:53.8                1.5438673493E+2           3.3250000000E+1           7.9514965952E+2           1.9666644692E+4           -2.4298002536E+1          -1.4893905396E+2         
06/03/16                  10:16:59.8                1.5438680430E+2           3.3250000000E+1           7.9500209951E+2           1.9652591628E+4           -2.3900795809E+1          -1.4767396682E+2         
06/03/16                  10:17:05.8                1.5438687374E+2           3.3250000000E+1           7.9494506025E+2           1.9649202243E+4           -2.4092219584E+1          -1.4755790636E+2         
06/03/16                  10:17:11.8                1.5438694328E+2           3.3250000000E+1           7.9508245777E+2           1.9638601497E+4           -2.3987627152E+1          -1.4784983168E+2         
06/03/16                  10:17:19.6                1.5438703315E+2           3.3187500000E+1           7.9523717528E+2           1.9610945731E+4           -2.3921082684E+1          -1.4813540519E+2         
06/03/16                  10:17:25.5                1.5438710076E+2           3.3187500000E+1           7.9478286112E+2           1.9589248586E+4           -2.3840944016E+1          -1.4706523443E+2         
06/03/16                  10:17:31.3                1.5438716874E+2           3.3229166670E+1           7.9507414736E+2           1.9573057993E+4           -2.4031986958E+1          -1.4812712978E+2         
06/03/16                  10:17:37.2                1.5438723641E+2           3.3212500000E+1           7.9469747068E+2           1.9562275315E+4           -2.4054852282E+1          -1.4684000586E+2         
06/03/16                  10:17:42.9                1.5438730316E+2           3.3218750000E+1           7.9508429653E+2           1.9545882035E+4           -2.4002557946E+1          -1.4781388079E+2         
06/03/16                  10:17:48.7                1.5438737009E+2           3.3250000000E+1           7.9536575275E+2           1.9532703239E+4           -2.3699877430E+1          -1.4956378991E+2         
06/03/16                  10:17:54.5                1.5438743666E+2           3.3250000000E+1           7.9458271950E+2           1.9545329475E+4           -2.4142527631E+1          -1.4734442391E+2         
06/03/16                  10:18:00.3                1.5438750425E+2           3.3250000000E+1           7.9480375320E+2           1.9548702058E+4           -2.4326889555E+1          -1.4819513728E+2         
06/03/16                  10:18:06.3                1.5438757330E+2           3.3270833330E+1           7.9497959937E+2           1.9556401824E+4           -2.3996516518E+1          -1.4810683024E+2         
06/03/16                  10:18:12.2                1.5438764187E+2           3.3296875000E+1           7.9482326050E+2           1.9547191886E+4           -2.3766658166E+1          -1.4681786689E+2         
06/03/16                  10:18:18.1                1.5438770978E+2           3.3262500000E+1           7.9484974735E+2           1.9537990445E+4           -2.4099285372E+1          -1.4754669824E+2         
06/03/16                  10:18:26.0                1.5438780133E+2           3.3250000000E+1           7.9455018688E+2           1.9540121795E+4           -2.3991142816E+1          -1.4727123970E+2         
06/03/16                  10:18:31.9                1.5438787012E+2           3.3250000000E+1           7.9498226159E+2           1.9533273316E+4           -2.3996751900E+1          -1.4862455049E+2         
06/03/16                  10:18:37.8                1.5438793796E+2           3.3250000000E+1           7.9470434640E+2           1.9544950180E+4           -2.4068108981E+1          -1.4751112014E+2         
06/03/16                  10:18:43.8                1.5438800758E+2           3.3250000000E+1           7.9497371767E+2           1.9542780223E+4           -2.3962411128E+1          -1.4789705735E+2         
06/03/16                  10:18:49.7                1.5438807596E+2           3.3270833330E+1           7.9485337811E+2           1.9555064847E+4           -2.3879559996E+1          -1.4804662934E+2         
06/03/16                  10:18:55.7                1.5438814569E+2           3.3260416670E+1           7.9477003256E+2           1.9562770817E+4           -2.3963960909E+1          -1.4722726594E+2         
06/03/16                  10:19:01.6                1.5438821351E+2           3.3250000000E+1           7.9489439184E+2           1.9559213817E+4           -2.3934362410E+1          -1.4811509387E+2         
06/03/16                  10:19:07.4                1.5438828020E+2           3.3250000000E+1           7.9472155119E+2           1.9567284094E+4           -2.3937968557E+1          -1.4746193238E+2         
06/03/16                  10:19:13.2                1.5438834748E+2           3.3250000000E+1           7.9460554617E+2           1.9567827789E+4           -2.3678154973E+1          -1.4728707680E+2         
