"","row","column","cor","p"
"1","delta_et_value_hydrogen","slope_estimate_hydrogen",-0.927578671328671,0
"2","delta_et_value_hydrogen","r.squared_hydrogen",0.741914335664336,1.54098955817972e-12
"3","delta_et_se_hydrogen","r.squared_hydrogen",-0.692526223776224,1.65177649336101e-10
"4","slope_estimate_hydrogen","r.squared_hydrogen",-0.720192307692308,1.36097799696699e-11
"5","delta_et_value_hydrogen","F_test_p.value_hydrogen",-0.685708041958042,2.92962987202827e-10
"6","delta_et_se_hydrogen","F_test_p.value_hydrogen",0.753234265734266,4.53415083256914e-13
"7","slope_estimate_hydrogen","F_test_p.value_hydrogen",0.633784965034965,1.45371683579754e-08
"8","r.squared_hydrogen","F_test_p.value_hydrogen",-0.972770979020979,0
"9","delta_et_se_hydrogen","delta_et_se_oxygen",0.912019230769231,0
"10","r.squared_hydrogen","delta_et_se_oxygen",-0.68159965034965,4.10724121380213e-10
"11","F_test_p.value_hydrogen","delta_et_se_oxygen",0.767395104895105,8.92619311798626e-14
"12","delta_et_value_oxygen","slope_estimate_oxygen",-0.954239510489511,0
"13","r.squared_hydrogen","r.squared_oxygen",0.54645979020979,2.48908817424009e-06
"14","F_test_p.value_hydrogen","r.squared_oxygen",-0.610096153846154,6.8470797698339e-08
"15","delta_et_value_oxygen","r.squared_oxygen",0.656555944055944,2.87944379451233e-09
"16","slope_estimate_oxygen","r.squared_oxygen",-0.666346153846154,1.37489886142816e-09
"17","r.squared_hydrogen","F_test_p.value_oxygen",-0.58833041958042,2.5527637181888e-07
"18","F_test_p.value_hydrogen","F_test_p.value_oxygen",0.662937062937063,1.78405357154077e-09
"19","delta_et_value_oxygen","F_test_p.value_oxygen",-0.633653846153846,1.46677225920655e-08
"20","delta_et_se_oxygen","F_test_p.value_oxygen",0.543837412587413,2.84182790921683e-06
"21","slope_estimate_oxygen","F_test_p.value_oxygen",0.644274475524475,7.01170388417438e-09
"22","r.squared_oxygen","F_test_p.value_oxygen",-0.983566433566434,0
"23","delta_et_se_hydrogen","air_sample_size",-0.57145979426958,6.63735508332763e-07
"24","r.squared_hydrogen","air_sample_size",0.519489035864614,9.23755903770029e-06
"25","F_test_p.value_hydrogen","air_sample_size",-0.662572532617059,1.83408466192247e-09
"26","delta_et_se_oxygen","air_sample_size",-0.744069150822324,1.22701848681572e-12
"27","r.squared_oxygen","air_sample_size",0.52346661283253,7.66674503349662e-06
"28","F_test_p.value_oxygen","air_sample_size",-0.624129906866708,2.77711738050357e-08
"29","F_test_p.value_hydrogen","air_water_mean",0.540821678321678,3.30514903357226e-06
"30","delta_et_se_oxygen","air_water_mean",0.572858391608392,6.14426982181726e-07
"31","r.squared_oxygen","air_water_mean",-0.620673076923077,3.48278295092541e-08
"32","F_test_p.value_oxygen","air_water_mean",0.693312937062937,1.54453339007432e-10
"33","air_sample_size","air_water_mean",-0.863636862863355,0
"34","delta_et_se_hydrogen","air_water_sd",-0.825393356643357,0
"35","r.squared_hydrogen","air_water_sd",0.555944055944056,1.52669707831343e-06
"36","F_test_p.value_hydrogen","air_water_sd",-0.543094405594406,2.94996961436311e-06
"37","delta_et_se_oxygen","air_water_sd",-0.762456293706294,1.59428026336172e-13
"38","delta_et_value_hydrogen","air_hydrogen_sd",0.570410839160839,7.03132787549521e-07
"39","slope_estimate_hydrogen","air_hydrogen_sd",-0.559527972027972,1.26420080182044e-06
"40","r.squared_hydrogen","air_hydrogen_sd",0.732298951048951,4.14823730920943e-12
"41","F_test_p.value_hydrogen","air_hydrogen_sd",-0.711057692307692,3.20419246691017e-11
"42","delta_et_se_oxygen","air_hydrogen_sd",-0.589073426573427,2.44450055308931e-07
"43","air_water_sd","air_hydrogen_sd",0.501267482517483,2.10700648746176e-05
"44","air_hydrogen_mean","air_oxygen_mean",0.711888111888112,2.96827007417733e-11
"45","air_oxygen_mean","Tair",0.574103917754932,1.61979595647566e-06
"46","delta_et_se_oxygen","RH",0.555543206446235,4.07672023383654e-06
"47","F_test_p.value_oxygen","RH",0.506085023617672,3.70409991490295e-05
"48","air_sample_size","RH",-0.699790202412188,4.93084462149795e-10
"49","air_water_mean","RH",0.716643512086691,1.20177645612785e-10
"50","F_test_p.value_hydrogen","specific_humidity",0.505529313698249,3.78985900693074e-05
"51","delta_et_se_oxygen","specific_humidity",0.53425951653237,1.09967105039743e-05
"52","r.squared_oxygen","specific_humidity",-0.562489580439011,2.90490100440799e-06
"53","F_test_p.value_oxygen","specific_humidity",0.617338149485968,1.49150186867786e-07
"54","air_sample_size","specific_humidity",-0.797437931883515,2.44249065417534e-14
"55","air_water_mean","specific_humidity",0.854126146151709,0
"56","RH","specific_humidity",0.862017227007502,0
"57","delta_et_se_oxygen","vpd",-0.581383717699361,1.11029014293607e-06
"58","air_sample_size","vpd",0.658385786671642,1.08215330030248e-08
"59","air_water_mean","vpd",-0.579494303973326,1.22571332461519e-06
"60","Tair","vpd",0.578105029174771,1.31764981503579e-06
"61","RH","vpd",-0.932925812725757,0
"62","specific_humidity","vpd",-0.717810502917477,1.08578035451501e-10
"63","wind_speed","max_wind_speed",0.924201166990831,0
